ID_Moneda,Nombre_Moneda,Simbolo,Anio,Mes_Nombre,Mes_Referencia,Precio_Promedio_Mensual,Maximo_Mensual,Minimo_Mensual,Precio_Inicio_Mes,Precio_Fin_Mes,Volatilidad_Media_Mensual,Volumen_Promedio_Mensual,Mes_Orden,Retorno_Mensual_Real
binance-peg-weth,Binance-Peg WETH,WETH,2025,January,2025-01-01,3329.73,3685.75,3077.18,3333.11,3077.18,3.103620332893811,82977149.014516,1,-0.0768
bitcoin,Bitcoin,BTC,2025,January,2025-01-01,99696.06,106182.24,92376.28,93507.86,104781.51,2.1834186914239537,53320979250.218387,1,0.1206
dogecoin,Dogecoin,DOGE,2025,July,2025-07-01,0.21,0.27,0.16,0.17,0.21,4.398444315888922,6744821453.415484,7,0.2353
filecoin,Filecoin,FIL,2025,February,2025-02-01,3.43,4.80,3.01,4.80,3.01,4.9249925549859705,196346074.807500,2,-0.3729
kaspa,Kaspa,KAS,2025,March,2025-03-01,0.08,0.09,0.06,0.09,0.06,6.397272147317883,70682446.583226,3,-0.3333
okb,OKB,OKB,2025,February,2025-02-01,48.97,52.83,44.80,52.83,44.80,2.7032564565572796,8290571.751786,2,-0.1520
sui,Sui,SUI,2025,January,2025-01-01,4.56,5.30,3.65,4.12,4.19,4.94794181220336,1503460923.000000,1,0.0170
algorand,Algorand,ALGO,2025,September,2025-09-01,0.23,0.25,0.20,0.23,0.20,2.8208976359200517,81264947.095000,9,-0.1304
ethereum,Ethereum,ETH,2025,May,2025-05-01,2352.09,2676.64,1794.05,1794.05,2546.62,3.8571326763075686,23039757344.302903,5,0.4195
flare-networks,Flare,FLR,2025,May,2025-05-01,0.02,0.02,0.02,0.02,0.02,2.8292549493650885,10323116.210000,5,0.0000
flare-networks,Flare,FLR,2025,July,2025-07-01,0.02,0.03,0.02,0.02,0.02,3.977759622552713,18148538.173226,7,0.0000
global-dollar,Global Dollar,USDG,2025,July,2025-07-01,1.00,1.00,1.00,1.00,1.00,0.015354208347965534,14813732.526129,7,0.0000
htx-dao,HTX DAO,HTX,2025,May,2025-05-01,0.00,0.00,0.00,0.00,0.00,1.8248657165406634,32934297.810323,5,
kaspa,Kaspa,KAS,2025,September,2025-09-01,0.08,0.09,0.08,0.08,0.08,2.703757575932639,42759189.592000,9,0.0000
leo-token,LEO Token,LEO,2025,August,2025-08-01,9.29,9.60,8.92,8.93,9.55,0.7001306624074233,2415759.739355,8,0.0694
near,NEAR Protocol,NEAR,2025,January,2025-01-01,5.14,6.00,4.28,4.91,4.41,4.689331102444005,319583907.316129,1,-0.1018
okb,OKB,OKB,2025,March,2025-03-01,47.02,53.13,40.84,45.03,48.36,3.460897418141782,11854651.944839,3,0.0740
tether-gold,Tether Gold,XAUT,2025,May,2025-05-01,3290.74,3404.70,3192.62,3254.91,3224.24,1.1085539724369846,32479242.653226,5,-0.0094
tron,TRON,TRX,2025,December,2025-12-01,0.28,0.28,0.28,0.28,0.28,0.8473415940971302,687538512.936667,12,0.0000
weth,WETH,WETH,2025,July,2025-07-01,3190.98,3870.87,2404.91,2488.55,3804.33,2.709095496420326,300975268.844839,7,0.5287
aave,Aave,AAVE,2025,June,2025-06-01,263.80,308.03,227.56,246.73,259.11,4.544030497363363,479411861.060000,6,0.0502
cardano,Cardano,ADA,2025,March,2025-03-01,0.76,1.14,0.63,1.14,0.73,10.619979826909715,1640081992.782581,3,-0.3596
ethena,Ethena,ENA,2025,June,2025-06-01,0.29,0.37,0.24,0.31,0.28,6.412222016688008,221375423.375000,6,-0.0968
gatechain-token,Gate,GT,2025,July,2025-07-01,16.52,18.28,15.26,15.39,17.44,1.6790521397731526,9625177.563548,7,0.1332
hyperliquid,Hyperliquid,HYPE,2025,June,2025-06-01,37.47,42.45,32.88,34.15,36.50,4.9346366035251865,327993880.827333,6,0.0688
staked-ether,Lido Staked Ether,STETH,2025,June,2025-06-01,2515.27,2808.35,2225.40,2535.43,2435.53,3.3159579376785944,19012296.873667,6,-0.0394
stellar,Stellar,XLM,2025,July,2025-07-01,0.37,0.50,0.23,0.23,0.44,5.396528351890219,865059231.970645,7,0.9130
filecoin,Filecoin,FIL,2025,May,2025-05-01,2.86,3.24,2.51,2.77,2.77,3.8682795643695385,149510038.792581,5,0.0000
litecoin,Litecoin,LTC,2025,January,2025-01-01,113.03,136.86,98.51,104.62,115.84,4.873106595769043,885532744.436774,1,0.1072
sky,Sky,SKY,2025,March,2025-03-01,0.05,0.07,0.05,0.07,0.06,5.124229184325842,9290584.790645,3,-0.1429
